[2025-04-27 02:08:06] local.INFO: Current route: null, Path: logs  
[2025-04-27 02:08:07] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:08:09] local.INFO: Current route: null, Path: users  
[2025-04-27 02:08:10] local.INFO: Current route: null, Path: blocked-countries  
[2025-04-27 02:08:15] local.INFO: Current route: null, Path: blocked-countries/4/edit  
[2025-04-27 02:08:19] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:08:28] local.INFO: Current route: null, Path: users  
[2025-04-27 02:08:31] local.INFO: Current route: null, Path: blocked-countries  
[2025-04-27 02:08:36] local.INFO: Current route: null, Path: /  
[2025-04-27 02:09:56] local.INFO: Current route: null, Path: /  
[2025-04-27 02:10:09] local.INFO: Current route: null, Path: /  
[2025-04-27 02:10:12] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:11:32] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:12:35] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:12:37] local.INFO: Current route: null, Path: logs  
[2025-04-27 02:12:40] local.INFO: Current route: null, Path: settings  
[2025-04-27 02:12:41] local.INFO: Current route: null, Path: blocked-countries  
[2025-04-27 02:12:45] local.INFO: Current route: null, Path: blocked-countries/4  
[2025-04-27 02:12:45] local.INFO: Current route: null, Path: blocked-countries  
[2025-04-27 02:12:46] local.INFO: Current route: null, Path: blocked-countries/create  
[2025-04-27 02:12:56] local.INFO: Current route: null, Path: blocked-countries  
[2025-04-27 02:12:56] local.INFO: Current route: null, Path: blocked-countries  
[2025-04-27 02:12:59] local.INFO: Current route: null, Path: users  
[2025-04-27 02:13:00] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:13:03] local.INFO: Current route: null, Path: clear-cache  
[2025-04-27 02:13:07] local.INFO: Current route: null, Path: clear-cache  
[2025-04-27 02:13:10] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:13:11] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:13:13] local.INFO: Current route: null, Path: /  
[2025-04-27 02:13:15] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:18:59] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:19:01] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:19:02] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:19:57] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:34:20] local.INFO: Current route: null, Path: dashboard  
[2025-04-27 02:34:22] local.INFO: Current route: null, Path: dashboard  
